"player_name","event_name","heat_name","player_number","player_score","mu","sd"
"Adam Melling","2015/mct/1317/billabong-pipe-masters","round_250_heat_4",2,15.5,11.23,3.53
"Adam Melling","2015/mct/1226/drug-aware-margaret-river-pro","round_185_heat_10",3,8.24,11.23,3.53
"Adam Melling","2015/mct/1226/drug-aware-margaret-river-pro","round_187_heat_3",2,6.1,11.23,3.53
"Adam Melling","2013/mct/589/hurley-pro-trestles","round_52_heat_4",3,14.03,11.23,3.53
"Adam Melling","2013/mct/519/quiksilver-pro-gold-coast","round_2_heat_9",2,15.9,11.23,3.53
"Adam Melling","2013/mct/589/hurley-pro-trestles","round_49_heat_10",3,13.3,11.23,3.53
"Adam Melling","2014/mct/639/quiksilver-pro-gold-coast","round_81_heat_6",3,10.5,11.23,3.53
"Adam Melling","2015/mct/1307/moche-rip-curl-pro-portugal","round_241_heat_12",3,10.04,11.23,3.53
"Adam Melling","2016/mct/1522/meo-rip-curl-pro-portugal","round_329_heat_7",3,8,11.23,3.53
"Adam Melling","2014/mct/639/quiksilver-pro-gold-coast","round_83_heat_4",2,9.96,11.23,3.53
"Adam Melling","2013/mct/519/quiksilver-pro-gold-coast","round_5_heat_2",2,11.83,11.23,3.53
"Adam Melling","2015/mct/1236/fiji-pro","round_203_heat_12",2,11.66,11.23,3.53
"Adam Melling","2015/mct/1317/billabong-pipe-masters","round_249_heat_11",3,1.14,11.23,3.53
"Adam Melling","2014/mct/730/billabong-pipe-masters","round_161_heat_4",3,15.9,11.23,3.53
"Adam Melling","2015/mct/1207/quiksilver-pro-gold-coast","round_170_heat_10",2,13.1,11.23,3.53
"Adam Melling","2014/mct/730/billabong-pipe-masters","round_163_heat_1",2,12.16,11.23,3.53
"Adam Melling","2015/mct/1317/billabong-pipe-masters","round_253_heat_3",2,5.17,11.23,3.53
"Adam Melling","2015/mct/1222/rip-curl-pro-bells-beach","round_177_heat_10",3,9.94,11.23,3.53
"Adam Melling","2016/mct/1513/quiksilver-pro-france","round_321_heat_12",3,8.97,11.23,3.53
"Adam Melling","2015/mct/1236/fiji-pro","round_205_heat_3",2,17.7,11.23,3.53
"Adam Melling","2014/mct/664/billabong-rio-pro","round_105_heat_3",3,7.24,11.23,3.53
"Adam Melling","2016/mct/1418/drug-aware-margaret-river-pro","round_274_heat_6",2,13.84,11.23,3.53
"Adam Melling","2013/mct/573/billabong-pro-teahupoo","round_42_heat_8",2,14.1,11.23,3.53
"Adam Melling","2014/mct/719/moche-rip-curl-pro-portugal","round_153_heat_10",3,10.5,11.23,3.53
"Adam Melling","2015/mct/1267/billabong-pro-tahiti","round_217_heat_5",3,6.26,11.23,3.53
"Adam Melling","2013/mct/594/quiksilver-pro-france","round_57_heat_5",3,15.4,11.23,3.53
"Adam Melling","2016/mct/1540/billabong-pipe-masters","round_337_heat_9",3,9.37,11.23,3.53
"Adam Melling","2014/mct/708/hurley-pro-at-trestles","round_138_heat_11",2,15.4,11.23,3.53
"Adam Melling","2015/mct/1234/oi-rio-pro","round_194_heat_10",2,14.1,11.23,3.53
"Adam Melling","2015/mct/1302/quiksilver-pro-france","round_233_heat_4",3,10.97,11.23,3.53
"Adam Melling","2013/mct/547/oakley-pro-bali","round_33_heat_10",3,14.1,11.23,3.53
"Adam Melling","2014/mct/698/billabong-pro-tahiti","round_129_heat_3",3,5.07,11.23,3.53
"Adam Melling","2016/mct/1513/quiksilver-pro-france","round_322_heat_9",2,11.34,11.23,3.53
"Adam Melling","2016/mct/1418/drug-aware-margaret-river-pro","round_273_heat_2",3,15.47,11.23,3.53
"Adam Melling","2016/mct/1457/j-bay-open","round_297_heat_9",3,9.4,11.23,3.53
"Adam Melling","2016/mct/1484/billabong-pro-tahiti","round_307_heat_2",2,5.67,11.23,3.53
"Adam Melling","2013/mct/540/volcom-fiji-pro","round_25_heat_9",3,13.36,11.23,3.53
"Adam Melling","2013/mct/573/billabong-pro-teahupoo","round_41_heat_10",3,11.1,11.23,3.53
"Adam Melling","2016/mct/1399/quiksilver-pro-gold-coast","round_258_heat_4",2,10.83,11.23,3.53
"Adam Melling","2013/mct/615/billabong-pipe-masters","round_74_heat_11",2,14.56,11.23,3.53
"Adam Melling","2013/mct/594/quiksilver-pro-france","round_58_heat_9",2,14.83,11.23,3.53
"Adam Melling","2013/mct/529/rip-curl-pro-bells-beach","round_9_heat_6",3,15.5,11.23,3.53
"Adam Melling","2016/mct/1413/rip-curl-pro-bells-beach","round_266_heat_5",2,14.5,11.23,3.53
"Adam Melling","2016/mct/1418/drug-aware-margaret-river-pro","round_275_heat_7",2,13.1,11.23,3.53
"Adam Melling","2014/mct/655/rip-curl-pro-bells-beach","round_99_heat_3",2,15.56,11.23,3.53
"Adrian Buchan","2015/mct/1244/j-bay-open","round_209_heat_9",3,12.6,12.23,3.56
"Adrian Buchan","2016/mct/1457/j-bay-open","round_297_heat_8",3,12.5,12.23,3.56
"Adrian Buchan","2017/mct/1935/hurley-pro-at-trestles","round_403_heat_5",2,15.5,12.23,3.56
"Adrian Buchan","2014/mct/730/billabong-pipe-masters","round_162_heat_7",2,3.47,12.23,3.56
"Adrian Buchan","2019/mct/2912/corona-bali-protected","round_523_heat_14",2,8.73,12.23,3.56
"Adrian Buchan","2016/mct/1434/oi-rio-pro","round_281_heat_11",3,13.46,12.23,3.56
"Adrian Buchan","2016/mct/1484/billabong-pro-tahiti","round_310_heat_1",2,18.16,12.23,3.56
"Adrian Buchan","2019/mct/2917/corona-open-j-bay","round_543_heat_2",3,12.03,12.23,3.56
"Adrian Buchan","2016/mct/1484/billabong-pro-tahiti","round_308_heat_2",3,8.33,12.23,3.56
"Adrian Buchan","2014/mct/708/hurley-pro-at-trestles","round_143_heat_1",2,13.3,12.23,3.56
"Adrian Buchan","2018/mct/2671/rip-curl-pro-bells-beach","round_440_heat_10",3,12,12.23,3.56
"Adrian Buchan","2016/mct/1399/quiksilver-pro-gold-coast","round_260_heat_3",3,15.74,12.23,3.56
"Adrian Buchan","2017/mct/1961/meo-rip-curl-pro-portugal","round_418_heat_7",2,9.07,12.23,3.56
"Adrian Buchan","2019/mct/2917/corona-open-j-bay","round_546_heat_2",2,14.1,12.23,3.56
"Adrian Buchan","2013/mct/573/billabong-pro-teahupoo","round_45_heat_2",2,14.16,12.23,3.56
"Adrian Buchan","2018/mct/2705/oi-rio-pro","round_449_heat_9",2,7.44,12.23,3.56
"Adrian Buchan","2019/mct/2908/quiksilver-pro-gold-coast","round_509_heat_2",2,11.2,12.23,3.56
"Adrian Buchan","2015/mct/1207/quiksilver-pro-gold-coast","round_170_heat_9",2,11.1,12.23,3.56
"Adrian Buchan","2017/mct/1854/oi-rio-pro","round_369_heat_8",3,13.53,12.23,3.56
"Adrian Buchan","2016/mct/1399/quiksilver-pro-gold-coast","round_257_heat_7",3,10.74,12.23,3.56
"Adrian Buchan","2017/mct/1854/oi-rio-pro","round_374_heat_3",2,16.37,12.23,3.56
"Adrian Buchan","2013/mct/547/oakley-pro-bali","round_34_heat_8",2,17.13,12.23,3.56
"Adrian Buchan","2019/mct/2919/tahiti-pro-teahupoo","round_549_heat_2",3,11.5,12.23,3.56
"Adrian Buchan","2016/mct/1495/hurley-pro-at-trestles","round_315_heat_12",2,14.7,12.23,3.56
"Adrian Buchan","2014/mct/668/fiji-pro","round_113_heat_4",3,10.23,12.23,3.56
"Adrian Buchan","2013/mct/540/volcom-fiji-pro","round_26_heat_10",2,17.06,12.23,3.56
"Adrian Buchan","2016/mct/1418/drug-aware-margaret-river-pro","round_275_heat_5",2,15.5,12.23,3.56
"Adrian Buchan","2013/mct/535/billabong-rio-pro","round_19_heat_5",2,12.94,12.23,3.56
"Adrian Buchan","2017/mct/1920/billabong-pro-tahiti","round_393_heat_7",3,14.33,12.23,3.56
"Adrian Buchan","2013/mct/573/billabong-pro-teahupoo","round_42_heat_12",2,13.9,12.23,3.56
"Adrian Buchan","2017/mct/1950/quiksilver-pro-france","round_411_heat_11",2,12.27,12.23,3.56
"Adrian Buchan","2015/mct/1222/rip-curl-pro-bells-beach","round_178_heat_9",2,8.66,12.23,3.56
"Adrian Buchan","2013/mct/535/billabong-rio-pro","round_20_heat_2",3,12.77,12.23,3.56
"Adrian Buchan","2016/mct/1443/fiji-pro","round_294_heat_3",2,14.6,12.23,3.56
"Adrian Buchan","2014/mct/730/billabong-pipe-masters","round_161_heat_10",3,15.07,12.23,3.56
"Adrian Buchan","2014/mct/730/billabong-pipe-masters","round_163_heat_8",2,11.53,12.23,3.56
"Adrian Buchan","2016/mct/1443/fiji-pro","round_292_heat_4",3,15.16,12.23,3.56
"Adrian Buchan","2015/mct/1267/billabong-pro-tahiti","round_219_heat_9",2,13.67,12.23,3.56
"Adrian Buchan","2018/mct/2803/quiksilver-pro-france","round_482_heat_8",3,13.43,12.23,3.56
"Adrian Buchan","2014/mct/730/billabong-pipe-masters","round_164_heat_3",3,6.86,12.23,3.56
"Adrian Buchan","2015/mct/1302/quiksilver-pro-france","round_235_heat_5",2,17.4,12.23,3.56
"Adrian Buchan","2015/mct/1244/j-bay-open","round_214_heat_1",2,18,12.23,3.56
"Adrian Buchan","2016/mct/1457/j-bay-open","round_299_heat_4",2,5.2,12.23,3.56
"Adrian Buchan","2019/mct/2916/oi-rio-pro","round_535_heat_2",3,6.93,12.23,3.56
"Adrian Buchan","2021/mct/3624/boost-mobile-margaret-river-pro-presented-by-corona","round_24_heat_13",2,10.5,12.23,3.56
"Adrian Buchan","2014/mct/698/billabong-pro-tahiti","round_131_heat_2",2,16.33,12.23,3.56
"Adrian Buchan","2017/mct/1961/meo-rip-curl-pro-portugal","round_417_heat_11",3,7.9,12.23,3.56
"Adrian Buchan","2019/mct/2913/margaret-river-pro","round_529_heat_4",3,13.93,12.23,3.56
"Adrian Buchan","2015/mct/1281/hurley-pro-at-trestles","round_227_heat_9",2,15.77,12.23,3.56
"Adrian Buchan","2018/mct/2714/corona-bali-protected","round_457_heat_2",3,12.5,12.23,3.56
"Adrian Buchan","2015/mct/1317/billabong-pipe-masters","round_251_heat_11",2,3.2,12.23,3.56
"Adrian Buchan","2019/mct/2919/tahiti-pro-teahupoo","round_551_heat_2",2,9.34,12.23,3.56
"Adrian Buchan","2014/mct/674/j-bay-open","round_122_heat_12",2,11.6,12.23,3.56
"Adrian Buchan","2013/mct/519/quiksilver-pro-gold-coast","round_1_heat_11",3,13.23,12.23,3.56
"Adrian Buchan","2017/mct/1800/quiksilver-pro-gold-coast","round_346_heat_6",2,15.97,12.23,3.56
"Adrian Buchan","2014/mct/708/hurley-pro-at-trestles","round_142_heat_2",2,17.43,12.23,3.56
"Adrian Buchan","2021/mct/3857/rip-curl-newcastle-cup-presented-by-corona","round_8_heat_7",3,11.67,12.23,3.56
"Adrian Buchan","2016/mct/1540/billabong-pipe-masters","round_338_heat_5",2,5.17,12.23,3.56
"Adrian Buchan","2019/mct/2917/corona-open-j-bay","round_542_heat_6",3,11.77,12.23,3.56
"Adrian Buchan","2016/mct/1484/billabong-pro-tahiti","round_305_heat_10",3,12,12.23,3.56
"Adrian Buchan","2017/mct/1935/hurley-pro-at-trestles","round_406_heat_1",2,15.57,12.23,3.56
"Adrian Buchan","2019/mct/2909/rip-curl-pro-bells-beach","round_514_heat_2",3,8.07,12.23,3.56
"Adrian Buchan","2013/mct/529/rip-curl-pro-bells-beach","round_12_heat_2",3,16,12.23,3.56
"Adrian Buchan","2021/mct/3857/rip-curl-newcastle-cup-presented-by-corona","round_10_heat_2",2,11.2,12.23,3.56
"Adrian Buchan","2014/mct/655/rip-curl-pro-bells-beach","round_98_heat_9",2,14.16,12.23,3.56
"Adrian Buchan","2015/mct/1244/j-bay-open","round_215_heat_1",2,15.2,12.23,3.56
"Adrian Buchan","2013/mct/573/billabong-pro-teahupoo","round_41_heat_7",3,10.6,12.23,3.56
"Adrian Buchan","2019/mct/2923/quiksilver-pro-france","round_560_heat_3",2,13,12.23,3.56
"Adrian Buchan","2016/mct/1399/quiksilver-pro-gold-coast","round_258_heat_8",2,15.37,12.23,3.56
"Adrian Buchan","2015/mct/1226/drug-aware-margaret-river-pro","round_185_heat_7",3,13.74,12.23,3.56
"Adrian Buchan","2015/mct/1317/billabong-pipe-masters","round_250_heat_6",2,13.17,12.23,3.56
"Adrian Buchan","2014/mct/668/fiji-pro","round_114_heat_11",2,14.1,12.23,3.56
"Adrian Buchan","2013/mct/594/quiksilver-pro-france","round_59_heat_11",2,16.4,12.23,3.56
"Adrian Buchan","2018/mct/2647/quiksilver-pro-gold-coast","round_436_heat_2",3,14.6,12.23,3.56
"Adrian Buchan","2016/mct/1418/drug-aware-margaret-river-pro","round_277_heat_2",2,10.26,12.23,3.56
"Adrian Buchan","2018/mct/2686/uluwatu-ct-margaret-river-pro","round_462_heat_3",2,9.14,12.23,3.56
"Adrian Buchan","2015/mct/1302/quiksilver-pro-france","round_233_heat_9",3,18.4,12.23,3.56
