"event_name","heat_name","player_number","player_name","player_score"
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_11",2,"Damien Hobgood",15.07
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_11",2,"Kieren Perrow",14.6
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_12",2,"Kai Otton",15.43
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_12",2,"Matt Wilkinson",13.43
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_1",2,"Taj Burrow",16.33
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_1",2,"Dusty Payne",10.27
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_2",2,"Kai Otton",14.67
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_2",2,"Jeremy Flores",14.23
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_3",2,"Nat Young",12.5
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_3",2,"Julian Wilson",10.5
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_4",2,"Josh Kerr",16.5
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_4",2,"Sebastian Zietz",14.17
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_5",2,"Adrian Buchan",17.47
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_5",2,"Bede Durbidge",17.16
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_6",2,"Willian Cardoso",16.66
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_6",2,"Kelly Slater",14.96
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_7",2,"Raoni Monteiro",19.17
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_7",2,"Joel Parkinson",19.1
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_8",2,"C.J. Hobgood",18.06
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_8",2,"Damien Hobgood",17.74
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_9",2,"Adriano de Souza",18.67
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_9",2,"Kolohe Andino",16
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_10",2,"Filipe Toledo",15.1
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_10",2,"Gabriel Medina",14.56
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_11",2,"Jordy Smith",18.27
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_11",2,"Alejo Muniz",10.6
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_12",2,"Mick Fanning",18.5
"2013/mct/529/rip-curl-pro-bells-beach","round_11_heat_12",2,"Tiago Pires",14.73
"2013/mct/529/rip-curl-pro-bells-beach","round_12_heat_1",3,"Kai Otton",15.87
"2013/mct/529/rip-curl-pro-bells-beach","round_12_heat_1",3,"Taj Burrow",11.03
"2013/mct/529/rip-curl-pro-bells-beach","round_12_heat_1",3,"Nat Young",10.36
"2013/mct/529/rip-curl-pro-bells-beach","round_12_heat_2",3,"Willian Cardoso",16.5
"2013/mct/529/rip-curl-pro-bells-beach","round_12_heat_2",3,"Josh Kerr",16.4
"2013/mct/529/rip-curl-pro-bells-beach","round_12_heat_2",3,"Adrian Buchan",16
"2013/mct/529/rip-curl-pro-bells-beach","round_12_heat_3",3,"Adriano de Souza",15.6
"2013/mct/529/rip-curl-pro-bells-beach","round_12_heat_3",3,"Raoni Monteiro",12.97
"2013/mct/529/rip-curl-pro-bells-beach","round_12_heat_3",3,"C.J. Hobgood",11.7
"2013/mct/529/rip-curl-pro-bells-beach","round_12_heat_4",3,"Jordy Smith",19.1
"2013/mct/529/rip-curl-pro-bells-beach","round_12_heat_4",3,"Filipe Toledo",17.67
"2013/mct/529/rip-curl-pro-bells-beach","round_12_heat_4",3,"Mick Fanning",17.03
"2013/mct/529/rip-curl-pro-bells-beach","round_13_heat_1",2,"Taj Burrow",16.23
"2013/mct/529/rip-curl-pro-bells-beach","round_13_heat_1",2,"Adrian Buchan",15.33
"2013/mct/529/rip-curl-pro-bells-beach","round_13_heat_2",2,"Nat Young",15.5
"2013/mct/529/rip-curl-pro-bells-beach","round_13_heat_2",2,"Josh Kerr",15.13
"2013/mct/529/rip-curl-pro-bells-beach","round_13_heat_3",2,"Mick Fanning",16.37
"2013/mct/529/rip-curl-pro-bells-beach","round_13_heat_3",2,"Raoni Monteiro",14.63
"2013/mct/529/rip-curl-pro-bells-beach","round_13_heat_4",2,"Filipe Toledo",18.34
"2013/mct/529/rip-curl-pro-bells-beach","round_13_heat_4",2,"C.J. Hobgood",12.94
"2013/mct/529/rip-curl-pro-bells-beach","round_14_heat_1",2,"Taj Burrow",15.5
"2013/mct/529/rip-curl-pro-bells-beach","round_14_heat_1",2,"Kai Otton",14.5
"2013/mct/529/rip-curl-pro-bells-beach","round_14_heat_2",2,"Nat Young",17.27
"2013/mct/529/rip-curl-pro-bells-beach","round_14_heat_2",2,"Willian Cardoso",14.83
"2013/mct/529/rip-curl-pro-bells-beach","round_14_heat_3",2,"Adriano de Souza",14.33
"2013/mct/529/rip-curl-pro-bells-beach","round_14_heat_3",2,"Mick Fanning",13.76
"2013/mct/529/rip-curl-pro-bells-beach","round_14_heat_4",2,"Jordy Smith",16.77
"2013/mct/529/rip-curl-pro-bells-beach","round_14_heat_4",2,"Filipe Toledo",13.2
"2013/mct/529/rip-curl-pro-bells-beach","round_15_heat_1",2,"Nat Young",15.1
"2013/mct/529/rip-curl-pro-bells-beach","round_15_heat_1",2,"Taj Burrow",13.43
"2013/mct/529/rip-curl-pro-bells-beach","round_15_heat_2",2,"Adriano de Souza",18.44
"2013/mct/529/rip-curl-pro-bells-beach","round_15_heat_2",2,"Jordy Smith",18.4
"2013/mct/529/rip-curl-pro-bells-beach","round_16_heat_1",2,"Adriano de Souza",16.26
"2013/mct/529/rip-curl-pro-bells-beach","round_16_heat_1",2,"Nat Young",15.83
"2013/mct/535/billabong-rio-pro","round_17_heat_1",3,"Patrick Gudauskas",11.5
"2013/mct/535/billabong-rio-pro","round_17_heat_1",3,"Josh Kerr",10.27
"2013/mct/535/billabong-rio-pro","round_17_heat_1",3,"Alejo Muniz",1.4
"2013/mct/535/billabong-rio-pro","round_17_heat_2",3,"Adriano de Souza",12.07
"2013/mct/535/billabong-rio-pro","round_17_heat_2",3,"Yadin Nicol",7.56
